cell_id,city,lat,lon,hospitals_count,schools_count,supermarkets_count,parks_count,banks_count,restaurants_count,distance_to_cbd_km,nearest_hospital_km,nearest_school_km,nearest_park_km
8ab9985fb3cfa455,Quito,-0.140246,-78.406871,1,6,2,5,0,9,8.295,0.141,0.058,0.254
85b057ea969496e6,Quito,-0.380359,-78.501967,0,1,2,4,0,3,22.561,7.479,0.195,0.12
896bcf7266886fa4,Quito,-0.244676,-78.533888,1,9,1,3,0,3,10.109,0.161,0.079,0.255
8bb70df7e5f195f0,Quito,-0.217832,-78.320506,0,1,0,1,0,2,17.147,6.152,0.051,0.1
88811249ab058255,Quito,-0.299052,-78.373172,1,2,1,3,0,4,17.064,0.257,0.37,0.118
8edc9e054df8af4c,Guayaquil,-2.121985,-79.936421,2,5,4,3,2,13,5.642,0.305,0.391,0.493
8009b15e27d12109,Guayaquil,-2.145662,-79.906165,2,7,5,4,4,18,3.112,0.142,0.385,0.06
8f091d70f76162f1,Guayaquil,-2.101945,-79.849387,1,5,3,2,0,5,10.901,0.389,0.446,0.175
884e12e1319e2418,Guayaquil,-2.3,-80.1,0,0,0,2,0,3,24.677,8.132,8.204,0.394
889d500d900b2f08,Guayaquil,-2.082347,-79.816074,4,0,0,2,1,3,15.111,0.433,5.827,0.381
8769f8e8e36a94ff,Guayaquil,-2.259305,-80.082736,0,1,2,3,0,2,20.629,7.254,0.16,0.37
8398c1fdb15a5737,Guayaquil,-2.161334,-79.838552,2,3,5,2,0,7,9.101,0.104,0.463,0.195
8a7131ee27ef37a9,Guayaquil,-2.01271,-79.874824,0,2,0,6,0,5,18.196,7.329,0.247,0.338
88a6cb0a308c12fa,Guayaquil,-2.202525,-79.998149,0,2,1,2,1,10,9.406,3.886,0.452,0.387
84ce7e99ea607964,Guayaquil,-2.168998,-79.946186,3,11,2,3,1,12,2.912,0.108,0.174,0.112
833839799374427b,Guayaquil,-2.258818,-79.75,0,2,0,7,0,0,21.315,7.375,0.444,0.325
8036165c0c656d05,Guayaquil,-2.013798,-79.820596,0,3,0,9,0,2,20.584,6.967,0.166,0.314
85921d827fd1e015,Guayaquil,-2.250574,-79.845186,0,3,0,3,1,8,12.222,4.201,0.406,0.172
8d61280ebcee40e7,Guayaquil,-2.114033,-79.881277,2,5,4,4,0,13,7.566,0.119,0.29,0.08
8214d56af1d6dceb,Guayaquil,-2.060654,-79.864405,0,0,2,3,1,5,13.638,5.67,5.249,0.388
80bba4844448748c,Guayaquil,-2.105249,-79.864271,0,2,1,1,0,11,9.497,4.264,0.18,0.381
88be4b1c4c68ec53,Guayaquil,-2.140181,-80.076066,0,3,0,5,0,3,17.656,6.556,0.354,0.08
8bd55391d07c990f,Guayaquil,-2.162683,-79.968667,0,6,2,3,0,8,5.468,2.24,0.111,0.437
814a6948674a1bb3,Guayaquil,-2.281986,-79.772841,0,1,0,5,0,1,20.553,6.673,0.434,0.389
8af0c602a9891ea7,Guayaquil,-2.018713,-79.801068,0,2,0,6,0,3,21.393,6.936,0.194,0.137
8b1fcfac614206b4,Guayaquil,-2.147669,-79.80182,0,4,3,4,0,3,13.364,4.592,0.375,0.225
85b0e7e8cd78d38e,Guayaquil,-2.168945,-79.902255,2,9,0,0,2,19,1.975,0.273,0.26,0.902
8371db8d30cf2bda,Guayaquil,-2.265679,-79.885263,1,4,3,5,0,8,11.317,0.408,0.427,0.178
85180ba49a2e67a4,Guayaquil,-2.164716,-80.033982,0,1,1,3,0,3,12.679,4.341,0.135,0.205
8a1b13b83b453347,Guayaquil,-2.17448,-79.926976,2,8,5,1,3,23,0.921,0.291,0.462,0.305
