cell_id,city,lat,lon,population_density,median_income_usd,education_level,employment_rate,internet_penetration,crime_index,gini_coefficient
8bb70df7e5f195f0,Quito,-0.217832,-78.320506,686.7,913.34,12.21,0.9348,0.7343,32.3,0.4006
88811249ab058255,Quito,-0.299052,-78.373172,798.0,920.49,11.03,0.9089,0.6832,25.8,0.5289
8fb7dda51889a9c9,Guayaquil,-2.3,-79.949302,200.0,1070.04,15.04,0.8889,0.7627,40.6,0.5169
8b28b220ea2b9458,Guayaquil,-2.155759,-79.868706,3328.1,1948.47,13.11,0.9384,0.7759,42.7,0.5076
86dba9ae8165eb4d,Guayaquil,-2.107768,-79.850582,2298.9,1637.6,12.86,0.9231,0.81,39.8,0.4439
8903fe86c450edbe,Guayaquil,-2.200513,-79.960456,4549.7,1373.04,15.64,0.9729,0.8667,38.9,0.489
821110b4a65de73b,Guayaquil,-2.094927,-79.936739,3725.3,1596.96,13.92,0.947,0.7654,37.5,0.4789
8a4379d17cbe53ae,Guayaquil,-2.281623,-80.019163,871.5,853.77,11.7,0.9141,0.8466,17.1,0.4579
83ee4638d9dc3815,Guayaquil,-2.250452,-79.876498,2316.9,929.85,10.98,0.9229,0.895,27.7,0.4916
86c2c74d56df9d1a,Guayaquil,-2.157538,-79.859583,3313.6,947.02,12.96,0.9659,0.8647,57.1,0.5292
80e7618582030f12,Guayaquil,-2.207385,-79.906128,5493.8,1179.03,14.63,0.9371,0.8636,41.6,0.5728
8c027b7366e64d8e,Guayaquil,-2.115261,-79.947068,2669.1,1035.23,14.48,0.955,0.9272,49.2,0.4481
867df4de09929766,Guayaquil,-2.130032,-79.977919,3040.3,972.63,14.63,0.9515,0.792,34.0,0.4789
8267c8b7bf35cb3e,Guayaquil,-2.201767,-79.953402,3663.6,1718.85,14.81,0.9542,0.7382,48.3,0.5355
800f580865aed227,Guayaquil,-2.274636,-79.87739,1850.6,714.53,11.81,0.9259,0.7141,50.5,0.4761
84af267540e61b17,Guayaquil,-2.211073,-79.918907,5716.6,1211.33,14.84,0.9475,0.8705,49.1,0.5159
85b5bc02486fa4e0,Guayaquil,-2.127935,-79.880929,3721.4,1105.29,14.39,0.9193,0.8338,55.7,0.4821
807d3e4c704fa43e,Guayaquil,-2.111779,-79.928617,3089.1,1146.28,13.37,0.9668,0.8813,50.4,0.5172
8408ae4ba7d43de1,Guayaquil,-2.207039,-79.926975,7195.4,944.24,15.47,0.9342,0.8684,58.2,0.4966
8c9e3419ee17b18f,Guayaquil,-2.3,-80.046622,200.0,750.41,12.08,0.9194,0.7736,26.1,0.3957
8cc9f0d73afcb163,Guayaquil,-2.285736,-80.007259,935.5,915.72,12.7,0.9142,0.8131,39.5,0.4809
8164257baf4717da,Guayaquil,-2.13502,-79.999229,1796.8,1735.27,12.42,0.9473,0.7993,39.4,0.4914
8f43487efc1afee7,Guayaquil,-2.203089,-79.806318,200.0,762.76,9.99,0.9001,0.8273,36.1,0.4709
8bbaedefc492a799,Guayaquil,-2.201173,-79.855467,3899.4,1013.65,14.45,0.9404,0.7839,37.2,0.4318
833dbb4a03912322,Guayaquil,-2.251692,-79.937976,1767.6,1067.07,14.59,0.9095,0.8347,32.3,0.4816
886048306b329ca1,Guayaquil,-2.253127,-79.949665,2189.8,1067.71,12.18,0.926,0.7577,35.0,0.479
863b545c4a1c5d19,Guayaquil,-2.096473,-80.071141,455.6,878.86,13.08,0.9029,0.691,45.9,0.4551
